Index,Prompt,CLIP_Original,CLIP_Defended,CLIP_Diff,Flow_Original,Flow_Defended,Flow_Diff,LPIPS_Original,LPIPS_Defended,LPIPS_Diff
28,close up of a prototype automobile with exposed engine on the back seat of the car,28.7673,28.1201,-0.6471,0.2064,0.3315,0.1251,0.0423,0.0372,-0.0051
29,empty seats in the bus,30.6150,31.8157,1.2007,0.0000,0.1311,0.1311,0.1449,0.0496,-0.0954
30,a young woman playing the ukulele at home,27.6758,26.9032,-0.7726,0.0000,0.0000,0.0000,0.0366,0.0722,0.0356
31,man using his phone while eating,29.1372,32.4782,3.3410,0.0000,0.0000,0.0000,0.1039,0.0700,-0.0338
32,a young female staff at courier office,28.6433,25.1208,-3.5225,0.0000,0.0000,0.0000,0.0604,0.0452,-0.0153
33,graveyard at sunset,33.4930,28.2130,-5.2799,0.0000,0.0000,0.0000,0.1335,0.0923,-0.0412
34,flat lay mexican dish,24.7318,25.0041,0.2723,0.0000,0.0000,0.0000,0.0638,0.0609,-0.0029
35,chameleon eating ant,31.2522,31.2522,0.0000,0.0000,0.0000,0.0000,0.0769,0.0769,0.0000
36,the landscape in front of a government building,30.0274,28.9514,-1.0760,0.5043,0.1875,-0.3168,0.0191,0.0107,-0.0084
37,video of passengers riding a double decker bus during night,34.2115,31.3610,-2.8505,0.1143,0.0000,-0.1143,0.1120,0.1305,0.0184
38,yacht sailing through the ocean,29.1952,29.1952,0.0000,0.0912,0.0912,0.0000,0.0395,0.0395,0.0000
39,couple dancing slow dance with sun glare,28.8462,29.0681,0.2219,0.0000,0.0000,0.0000,0.0750,0.0498,-0.0252
40,footage of the road without any traffic,29.2838,30.5650,1.2812,0.0000,0.0000,0.0000,0.1520,0.1055,-0.0465
41,buddhist temple at sunrise,30.5299,30.5299,0.0000,0.0000,0.0000,0.0000,0.0235,0.0235,0.0000
42,preparing a cocktail drink,30.3335,30.1823,-0.1511,0.0000,0.0000,0.0000,0.0850,0.0938,0.0088
43,movie crew talking together,25.1368,23.8705,-1.2664,0.0000,0.0000,0.0000,0.0856,0.0665,-0.0191
44,cruise ship in harbor,28.8268,28.8268,0.0000,0.0000,0.0000,0.0000,0.0263,0.0263,0.0000
45,a zebra eating grass on the field,31.1015,30.4271,-0.6744,0.0000,0.0000,0.0000,0.0712,0.0391,-0.0321
46,pregnant woman exercising with trainer,30.3618,25.0723,-5.2895,0.0000,0.0000,0.0000,0.0157,0.0175,0.0018
47,a nine banded armadillo searching for food,28.0966,28.0966,0.0000,0.0531,0.0531,0.0000,0.1479,0.1479,0.0000
48,workmates teasing a colleague in the work,23.5935,21.3760,-2.2175,0.0000,0.0000,0.0000,0.0512,0.0294,-0.0219
49,a mother and her kids engaged in a video call,31.1017,30.9536,-0.1481,0.0000,0.0000,0.0000,0.0607,0.0530,-0.0077
50,exotic view of a riverfront city,29.3768,29.3768,0.0000,0.0000,0.0000,0.0000,0.0375,0.0375,0.0000
51,cutting an onion with a knife over a wooden chopping board,35.7419,34.8311,-0.9108,0.0000,0.0000,0.0000,0.1982,0.1939,-0.0042
52,hedgehog crossing road in forest,28.4352,14.2471,-14.1880,0.0000,0.0000,0.0000,0.1138,0.1061,-0.0077
53,sunlight inside a room,27.7863,30.1621,2.3758,0.0000,0.0000,0.0000,0.0654,0.0375,-0.0280
54,tree with halloween decoration,27.9623,27.9623,0.0000,0.5656,0.5656,0.0000,0.1825,0.1825,0.0000
55,a miniature house,28.5388,25.2782,-3.2606,0.2698,0.0000,-0.2698,0.0810,0.1232,0.0422
56,dad watching her daughter eat,24.1665,25.7338,1.5673,0.0000,0.0000,0.0000,0.0373,0.0436,0.0063
57,vertical video of camel roaming in the field during daytime,29.5952,31.2410,1.6458,0.0000,0.0000,0.0000,0.0243,0.0267,0.0023
58,trunks of many trees in the forest,30.0591,29.8590,-0.2001,0.4775,0.5469,0.0694,0.0884,0.0954,0.0070
59,people carving a pumpkin,34.2078,33.1134,-1.0944,0.0000,0.0000,0.0000,0.1356,0.1372,0.0017
60,time lapse video of a farm during sunset,31.2679,31.2679,0.0000,0.0000,0.0000,0.0000,0.0082,0.0082,0.0000
61,top view of yachts,30.2512,27.2676,-2.9835,0.0917,0.0000,-0.0917,0.0836,0.0699,-0.0137
62,teacher writing on her notebook,29.4319,29.9433,0.5114,0.0000,0.0000,0.0000,0.0404,0.0342,-0.0062
63,the changing color of the tree leaves during autumn season,30.3764,30.0608,-0.3156,0.2831,0.3478,0.0647,0.0712,0.0737,0.0024
64,fire in front of illuminated building at night,31.9890,32.9748,0.9858,0.0164,0.0000,-0.0164,0.1222,0.0550,-0.0673
65,aerial view of a train passing by a bridge,36.5731,36.5731,0.0000,0.0000,0.0000,0.0000,0.0590,0.0590,0.0000
66,porcupine climbs tree branches,26.5332,26.5332,0.0000,0.2108,0.2108,0.0000,0.1242,0.1242,0.0000
67,twin sisters and a turtle,31.6987,31.6987,0.0000,0.0000,0.0000,0.0000,0.0536,0.0536,0.0000
68,view from hill on city,27.7992,21.7117,-6.0875,0.0000,0.0000,0.0000,0.0190,0.0359,0.0169
69,person making a vegetarian dish,28.2317,28.2317,0.0000,0.0000,0.0000,0.0000,0.2339,0.2339,0.0000
70,close up video of japanese food,30.5145,29.0830,-1.4314,0.0000,0.0000,0.0000,0.1423,0.1554,0.0131
71,a still video of mosquito biting human,30.3951,24.7371,-5.6580,0.0000,0.1764,0.1764,0.1569,0.0506,-0.1063
72,a car charging in the parking area,24.2690,22.5066,-1.7624,0.0000,0.0000,0.0000,0.0584,0.0737,0.0153
73,a wooden house overseeing the lake,30.7138,29.5782,-1.1356,0.0000,0.0000,0.0000,0.0125,0.0157,0.0032
74,drone footage of a wreck ship on shore,33.0738,32.7899,-0.2839,0.4140,0.5848,0.1708,0.0413,0.0270,-0.0143
75,slow motion footage of a racing car,31.6433,26.3689,-5.2743,0.0000,0.0000,0.0000,0.2371,0.0584,-0.1787
76,indoor farm in a greenhouse,28.5613,28.5613,0.0000,0.0000,0.0000,0.0000,0.0478,0.0478,0.0000
77,vehicles traveling on roadway under cloudy sky,29.5293,26.7832,-2.7461,0.0000,0.0000,0.0000,0.0397,0.1238,0.0840
78,a male vendor selling fruits,29.9326,29.9326,0.0000,0.0000,0.0000,0.0000,0.1545,0.1545,0.0000
79,blue ocean near the brown castle,25.7948,25.7948,0.0000,0.0000,0.0000,0.0000,0.0083,0.0083,0.0000
80,a medium close up of women wearing kimonos,23.4610,24.1004,0.6395,0.0000,0.2707,0.2707,0.0293,0.0467,0.0174
81,fighter practice kicking,23.4215,17.0026,-6.4189,0.0000,0.0000,0.0000,0.2111,0.1026,-0.1085
82,person cooking mushrooms in frying pan,35.3449,35.1947,-0.1502,0.0000,0.0000,0.0000,0.1616,0.1894,0.0278
83,aerial view of town and park,27.0810,28.1070,1.0260,0.3259,0.4364,0.1105,0.0532,0.0592,0.0060
84,people enjoying asian cuisine,29.2577,24.6633,-4.5944,0.0000,0.0000,0.0000,0.0611,0.0346,-0.0265
85,a graveyard by a church in a mountain landscape,26.6540,26.6540,0.0000,0.0000,0.0000,0.0000,0.0574,0.0574,0.0000
86,aerial footage of a city at night,32.4754,33.3078,0.8325,0.4357,0.5350,0.0993,0.0494,0.0497,0.0003
87,a sleeping orangutan,29.9305,29.9305,0.0000,0.2804,0.2804,0.0000,0.0569,0.0569,0.0000
88,scenic video of sunset,29.1155,27.2579,-1.8576,0.0000,0.0000,0.0000,0.1026,0.0282,-0.0744
89,video of a train tracks,29.1881,30.2215,1.0334,0.0000,0.0000,0.0000,0.0625,0.0714,0.0089
90,aerial view of a luxurious house with pool,32.9926,32.9926,0.0000,0.6751,0.6751,0.0000,0.0720,0.0720,0.0000
91,a tractor harvesting lavender flower,38.2456,38.2456,0.0000,0.2899,0.2899,0.0000,0.0829,0.0829,0.0000
92,a footage of a broken bicycle,27.1951,25.3892,-1.8059,0.0975,0.0000,-0.0975,0.1064,0.1084,0.0020
93,fog over temple,31.3920,33.1678,1.7758,0.0000,0.0000,0.0000,0.0095,0.0091,-0.0005
94,baby in the shower room,32.6629,26.2142,-6.4487,0.0000,0.0000,0.0000,0.0497,0.0266,-0.0231
95,young guy with vr headset,30.5750,30.5750,0.0000,0.0000,0.0000,0.0000,0.0490,0.0490,0.0000
96,waffle with strawberry and syrup for breakfast,30.9203,31.0569,0.1366,0.0000,0.0030,0.0030,0.0281,0.0289,0.0008
97,a dark clouds over shadowing the full moon,29.5633,29.5633,0.0000,0.0000,0.0000,0.0000,0.0139,0.0139,0.0000
98,a plant surrounded by fallen leaves,31.0646,17.3293,-13.7353,0.3466,0.2361,-0.1105,0.0614,0.0224,-0.0390
99,a mother preparing food with her kids,30.3734,27.9087,-2.4647,0.0000,0.0000,0.0000,0.0445,0.0518,0.0073
