Index,Prompt,CLIP_Original,CLIP_Defended,CLIP_Diff,Flow_Original,Flow_Defended,Flow_Diff,LPIPS_Original,LPIPS_Defended,LPIPS_Diff
29,empty seats in the bus,30.3763,28.4637,-1.9126,0.0000,0.4096,0.4096,0.0370,0.0965,0.0595
30,a young woman playing the ukulele at home,27.6102,29.0078,1.3975,0.0000,0.0000,0.0000,0.0987,0.0771,-0.0215
31,man using his phone while eating,35.0335,27.8190,-7.2146,0.0000,0.0000,0.0000,0.0458,0.0837,0.0379
32,a young female staff at courier office,24.6772,26.2610,1.5838,0.0000,0.2065,0.2065,0.0765,0.0337,-0.0429
33,graveyard at sunset,25.0225,24.1152,-0.9073,0.0000,0.0000,0.0000,0.0469,0.0402,-0.0067
34,flat lay mexican dish,25.1033,26.5755,1.4721,0.8757,0.8801,0.0044,0.0568,0.0484,-0.0084
35,chameleon eating ant,30.8549,30.2851,-0.5699,0.1810,0.0000,-0.1810,0.0450,0.0350,-0.0101
36,the landscape in front of a government building,27.5713,29.6226,2.0513,0.6467,0.4233,-0.2235,0.0478,0.0768,0.0290
37,video of passengers riding a double decker bus during night,30.0464,30.6163,0.5700,0.0000,0.0374,0.0374,0.0833,0.0722,-0.0111
38,yacht sailing through the ocean,28.4313,28.5349,0.1036,0.0000,0.0278,0.0278,0.0380,0.0275,-0.0104
39,couple dancing slow dance with sun glare,31.2083,30.7817,-0.4266,0.0000,0.0000,0.0000,0.0744,0.0532,-0.0212
40,footage of the road without any traffic,28.2280,26.9385,-1.2895,0.0000,0.0000,0.0000,0.1171,0.1219,0.0048
41,buddhist temple at sunrise,29.4985,29.6818,0.1833,0.2113,0.2519,0.0405,0.0377,0.0327,-0.0050
42,preparing a cocktail drink,29.5764,30.5962,1.0198,0.0000,0.0000,0.0000,0.1101,0.1003,-0.0099
43,movie crew talking together,22.6563,22.7730,0.1167,0.0000,0.0000,0.0000,0.0781,0.0668,-0.0113
44,cruise ship in harbor,26.9310,27.1962,0.2651,0.3504,0.0000,-0.3504,0.0194,0.0208,0.0014
45,a zebra eating grass on the field,33.2009,32.4730,-0.7279,0.0000,0.0000,0.0000,0.0619,0.0642,0.0023
46,pregnant woman exercising with trainer,37.5525,23.4294,-14.1231,0.0000,0.0000,0.0000,0.0846,0.0510,-0.0336
47,a nine banded armadillo searching for food,30.3956,26.1831,-4.2125,0.2024,0.0000,-0.2024,0.1016,0.1146,0.0130
48,workmates teasing a colleague in the work,23.5382,24.5373,0.9991,0.0000,0.0000,0.0000,0.0960,0.0952,-0.0008
49,a mother and her kids engaged in a video call,31.8825,33.4498,1.5673,0.0000,0.0837,0.0837,0.0961,0.0713,-0.0249
50,exotic view of a riverfront city,27.5532,25.1649,-2.3883,0.0000,0.3882,0.3882,0.0300,0.0545,0.0244
51,cutting an onion with a knife over a wooden chopping board,35.0732,37.1947,2.1215,0.0000,0.0000,0.0000,0.1772,0.1657,-0.0115
52,hedgehog crossing road in forest,27.9834,29.4596,1.4762,0.3010,0.0095,-0.2915,0.0763,0.0677,-0.0086
53,sunlight inside a room,29.8801,27.4278,-2.4523,0.0000,0.0000,0.0000,0.0660,0.0439,-0.0222
54,tree with halloween decoration,30.8976,24.6319,-6.2657,0.2319,0.3321,0.1003,0.1097,0.0980,-0.0117
55,a miniature house,30.6644,26.5390,-4.1254,0.0000,0.2407,0.2407,0.0443,0.1131,0.0688
56,dad watching her daughter eat,25.0034,27.0580,2.0546,0.0305,0.2902,0.2597,0.0576,0.0821,0.0245
57,vertical video of camel roaming in the field during daytime,28.7528,27.8326,-0.9201,0.0000,0.0000,0.0000,0.0956,0.0879,-0.0077
58,trunks of many trees in the forest,28.1984,27.6470,-0.5514,0.6287,0.6712,0.0425,0.1205,0.1058,-0.0147
59,people carving a pumpkin,34.4316,33.1190,-1.3126,0.0000,0.0000,0.0000,0.1350,0.1146,-0.0204
60,time lapse video of a farm during sunset,31.3025,30.4855,-0.8170,0.0000,0.0000,0.0000,0.0236,0.0180,-0.0056
61,top view of yachts,32.6192,33.5489,0.9298,0.0000,0.2059,0.2059,0.0402,0.0459,0.0057
62,teacher writing on her notebook,27.7119,27.5752,-0.1367,0.0000,0.0000,0.0000,0.0439,0.0318,-0.0121
63,the changing color of the tree leaves during autumn season,29.9798,29.1970,-0.7827,0.0000,0.0000,0.0000,0.1740,0.1519,-0.0221
64,fire in front of illuminated building at night,30.8618,31.8068,0.9451,0.0000,0.0000,0.0000,0.1504,0.1628,0.0123
65,aerial view of a train passing by a bridge,34.5722,34.0024,-0.5698,0.5426,0.5853,0.0426,0.1086,0.0787,-0.0299
66,porcupine climbs tree branches,31.2855,31.4051,0.1196,0.1040,0.0394,-0.0646,0.1604,0.1700,0.0096
67,twin sisters and a turtle,26.7023,26.0048,-0.6974,0.0087,0.4226,0.4138,0.2086,0.1612,-0.0474
68,view from hill on city,27.9748,28.0312,0.0564,0.3450,0.3772,0.0322,0.0816,0.0505,-0.0311
69,person making a vegetarian dish,29.4387,27.7587,-1.6800,0.0000,0.0000,0.0000,0.1964,0.2077,0.0113
70,close up video of japanese food,30.6395,26.7656,-3.8739,0.2256,0.2042,-0.0213,0.0954,0.0480,-0.0473
71,a still video of mosquito biting human,33.0407,33.4353,0.3946,0.0000,0.0000,0.0000,0.0173,0.0108,-0.0065
72,a car charging in the parking area,24.6698,28.4274,3.7576,0.0000,0.0000,0.0000,0.0164,0.0744,0.0580
73,a wooden house overseeing the lake,31.8230,28.8483,-2.9747,0.2117,0.0000,-0.2117,0.0534,0.0631,0.0097
74,drone footage of a wreck ship on shore,34.0171,32.1671,-1.8500,0.0000,0.0000,0.0000,0.0832,0.0819,-0.0013
75,slow motion footage of a racing car,29.9388,23.9372,-6.0015,0.0940,0.2131,0.1191,0.0165,0.0095,-0.0070
76,indoor farm in a greenhouse,30.5195,31.3146,0.7950,0.0839,0.0000,-0.0839,0.1282,0.1465,0.0184
77,vehicles traveling on roadway under cloudy sky,33.1571,32.9953,-0.1617,0.0000,0.0000,0.0000,0.0129,0.0015,-0.0115
78,a male vendor selling fruits,33.3892,32.4448,-0.9444,0.0000,0.0000,0.0000,0.0840,0.0798,-0.0041
79,blue ocean near the brown castle,27.4370,25.1323,-2.3047,0.4123,0.0000,-0.4123,0.0352,0.0804,0.0452
80,a medium close up of women wearing kimonos,27.3519,26.5574,-0.7944,0.2522,0.0000,-0.2522,0.2542,0.1292,-0.1250
81,fighter practice kicking,26.8172,17.4311,-9.3861,0.0000,0.0000,0.0000,0.2341,0.0544,-0.1796
82,person cooking mushrooms in frying pan,33.9985,30.9764,-3.0221,0.0000,0.0000,0.0000,0.1379,0.0852,-0.0527
83,aerial view of town and park,28.8013,29.0442,0.2429,0.1030,0.0498,-0.0532,0.0820,0.0728,-0.0092
84,people enjoying asian cuisine,24.6065,23.9487,-0.6578,0.0000,0.0000,0.0000,0.0867,0.0861,-0.0007
85,a graveyard by a church in a mountain landscape,33.9036,33.4299,-0.4737,0.2170,0.6667,0.4497,0.0922,0.0786,-0.0135
86,aerial footage of a city at night,33.6401,33.6704,0.0302,0.0000,0.0000,0.0000,0.0470,0.0396,-0.0073
87,a sleeping orangutan,29.1793,25.1392,-4.0401,0.3850,0.0000,-0.3850,0.0439,0.0373,-0.0067
88,scenic video of sunset,29.5853,28.8808,-0.7045,0.0000,0.0000,0.0000,0.0502,0.0070,-0.0431
89,video of a train tracks,36.1630,34.4059,-1.7571,0.0538,0.1639,0.1100,0.1549,0.1021,-0.0528
90,aerial view of a luxurious house with pool,35.3288,34.0740,-1.2548,0.5841,0.5586,-0.0254,0.0577,0.0541,-0.0036
91,a tractor harvesting lavender flower,30.2561,28.4988,-1.7573,0.5119,0.5460,0.0342,0.0661,0.0586,-0.0074
92,a footage of a broken bicycle,29.2024,26.5843,-2.6181,0.3965,0.2644,-0.1321,0.1206,0.1160,-0.0046
93,fog over temple,32.6733,29.3332,-3.3401,0.0000,0.3463,0.3463,0.0135,0.0170,0.0035
94,baby in the shower room,31.2500,28.9472,-2.3028,0.0000,0.0000,0.0000,0.0878,0.0775,-0.0103
95,young guy with vr headset,31.1272,29.2653,-1.8620,0.0000,0.0000,0.0000,0.0623,0.0498,-0.0125
96,waffle with strawberry and syrup for breakfast,30.3140,31.2544,0.9404,0.1824,0.2924,0.1101,0.0625,0.0677,0.0053
97,a dark clouds over shadowing the full moon,27.4809,27.1173,-0.3636,0.1241,0.0000,-0.1241,0.0147,0.0106,-0.0041
98,a plant surrounded by fallen leaves,32.4374,31.0447,-1.3927,0.6530,0.6833,0.0303,0.0892,0.0690,-0.0201
99,a mother preparing food with her kids,28.6041,27.9763,-0.6278,0.0000,0.0000,0.0000,0.0806,0.0577,-0.0229
